show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Music & Musicals,Classic Movies,Documentaries,Sci-Fi & Fantasy,Faith & Spirituality,Thrillers,Dramas,Action & Adventure,Independent Movies,Cult Movies,LGBTQ Movies,Movies,Sports Movies,Children & Family Movies,Horror Movies,Comedies,Stand-Up Comedy,International Movies,Romantic Movies,avg_dur
s10,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",2021-09-24,2021,PG-13,104,"Comedies, Dramas",12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,98
s28,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",2021-09-20,2010,PG-13,103,Comedies,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98
s29,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",2021-09-19,2013,PG-13,97,"Horror Movies, Sci-Fi & Fantasy",14.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,98
s42,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",2021-09-16,1975,PG,124,"Action & Adventure, Classic Movies, Dramas",15.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,84
s43,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",2021-09-16,1978,PG,116,"Dramas, Horror Movies, Thrillers",14.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,84
s44,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",2021-09-16,1983,PG,98,"Action & Adventure, Horror Movies, Thrillers",13.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,84
s45,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",2021-09-16,1987,PG-13,91,"Action & Adventure, Horror Movies, Thrillers",13.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,98
s49,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",2021-09-16,2001,R,122,"Dramas, Thrillers",14.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,106
s82,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",2021-09-10,2021,R,106,Action & Adventure,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106
s108,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",2021-09-04,2018,G,90,"Children & Family Movies, Dramas",12.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,92
s132,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",2021-09-01,1982,R,117,"Action & Adventure, Classic Movies, Cult Movies",13.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,106
