show_id,title,director,cast,date_added,release_year,rating,duration,listed_in,complexity,Faith & Spirituality,Children & Family Movies,International Movies,Comedies,Sports Movies,Music & Musicals,Horror Movies,Thrillers,Documentaries,Dramas,Cult Movies,Classic Movies,Stand-Up Comedy,Romantic Movies,Independent Movies,LGBTQ Movies,Movies,Sci-Fi & Fantasy,Action & Adventure,n
s10,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",9/24/21,2021,PG-13,104,"Comedies, Dramas",12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
s28,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",9/20/21,2010,PG-13,103,Comedies,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s29,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",9/19/21,2013,PG-13,97,"Horror Movies, Sci-Fi & Fantasy",14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
s42,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",9/16/21,1975,PG,124,"Action & Adventure, Classic Movies, Dramas",15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
s43,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",9/16/21,1978,PG,116,"Dramas, Horror Movies, Thrillers",14,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
s44,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",9/16/21,1983,PG,98,"Action & Adventure, Horror Movies, Thrillers",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
s45,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",9/16/21,1987,PG-13,91,"Action & Adventure, Horror Movies, Thrillers",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
s49,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",9/16/21,2001,R,122,"Dramas, Thrillers",14,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
s82,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",9/10/21,2021,R,106,Action & Adventure,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",9/7/21,2018,TV-MA,97,"Documentaries, Music & Musicals",15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
s108,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",9/4/21,2018,G,90,"Children & Family Movies, Dramas",12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
s132,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",9/1/21,1982,R,117,"Action & Adventure, Classic Movies, Cult Movies",13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
s139,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",9/1/21,2010,PG-13,108,"Dramas, Romantic Movies",4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s140,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",9/1/21,1989,R,120,"Classic Movies, Comedies, Dramas",14,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
s144,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",9/1/21,2011,PG-13,114,"Action & Adventure, Sci-Fi & Fantasy",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
s145,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",9/1/21,1990,R,104,"Comedies, Cult Movies",12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
s146,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",9/1/21,1991,R,94,"Comedies, Cult Movies, Music & Musicals",13,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
s147,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",9/1/21,1994,R,94,"Comedies, Music & Musicals",9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s150,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",9/1/21,1998,R,93,"Action & Adventure, Comedies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s151,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",9/1/21,1999,R,97,Thrillers,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
s153,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",9/1/21,2016,TV-MA,88,Comedies,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
s157,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",9/1/21,2010,PG,105,"Comedies, Dramas, Romantic Movies",14,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
s159,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",9/1/21,2003,PG-13,101,"Comedies, Romantic Movies",11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
s162,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",9/1/21,1996,PG-13,106,"Comedies, Cult Movies, Sci-Fi & Fantasy",14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
s164,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",9/1/21,2003,R,86,"Comedies, Romantic Movies",11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
s165,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",9/1/21,1999,PG-13,121,"Action & Adventure, Comedies",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
s169,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",9/1/21,2001,PG,95,"Action & Adventure, Children & Family Movies, Comedies",16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
s170,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",9/1/21,2006,PG-13,98,"Action & Adventure, Dramas",14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
