show_id,title,director,cast,date_added,release_year,rating,duration,complexity,Documentaries,Children & Family Movies,Cult Movies,Stand-Up Comedy,Thrillers,Independent Movies,Dramas,Movies,International Movies,LGBTQ Movies,Romantic Movies,Sports Movies,Horror Movies,Music & Musicals,Classic Movies,Action & Adventure,Comedies,Sci-Fi & Fantasy,Faith & Spirituality
s10,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",2021-09-24,2021,PG-13,104,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
s28,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",2021-09-20,2010,PG-13,103,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s29,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",2021-09-19,2013,PG-13,97,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
s42,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",2021-09-16,1975,PG,124,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
s43,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",2021-09-16,1978,PG,116,14,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
s44,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",2021-09-16,1983,PG,98,13,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
s45,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",2021-09-16,1987,PG-13,91,13,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
s49,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",2021-09-16,2001,R,122,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s82,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",2021-09-10,2021,R,106,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",2021-09-07,2018,TV-MA,97,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s108,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",2021-09-04,2018,G,90,12,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
s132,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",2021-09-01,1982,R,117,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
s139,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",2021-09-01,2010,PG-13,108,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
s140,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",2021-09-01,1989,R,120,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
s144,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",2021-09-01,2011,PG-13,114,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
s145,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",2021-09-01,1990,R,104,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s146,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",2021-09-01,1991,R,94,13,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
s147,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",2021-09-01,1994,R,94,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
s150,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",2021-09-01,1998,R,93,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s151,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",2021-09-01,1999,R,97,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s153,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",2021-09-01,2016,TV-MA,88,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s157,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",2021-09-01,2010,PG,105,14,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
s159,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",2021-09-01,2003,PG-13,101,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
s162,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",2021-09-01,1996,PG-13,106,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
s164,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",2021-09-01,2003,R,86,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
s165,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",2021-09-01,1999,PG-13,121,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s169,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",2021-09-01,2001,PG,95,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
s170,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",2021-09-01,2006,PG-13,98,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
s171,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",2021-09-01,1997,R,89,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s172,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",2021-09-01,2017,PG-13,120,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
s174,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,2021-09-01,2015,PG-13,83,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
s175,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",2021-09-01,2003,R,121,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
s176,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",2021-09-01,1980,R,105,13,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
s177,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",2021-09-01,1986,PG-13,94,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s179,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",2021-09-01,2014,R,112,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s180,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",2021-09-01,1996,PG-13,95,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
s183,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",2021-09-01,2008,PG-13,114,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s184,In the Line of Fire,Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes",2021-08-31,1993,R,129,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
s228,Really Love,Angel Kristi Williams,"Kofi Siriboe, Yootha Wong-Loi-Sing, Michael Ealy, Uzo Aduba",2021-08-25,2020,TV-MA,95,14,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
s230,The Old Ways,Christopher Alender,"Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez",2021-08-25,2020,TV-MA,90,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
s232,The Water Man,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",2021-08-25,2021,PG,92,13,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
s248,Sweet Girl,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",2021-08-20,2021,R,110,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
s252,Like Crazy,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",2021-08-19,2011,PG-13,91,6,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
s265,Walk of Shame,Steve Brill,"Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright, Ethan Suplee, Bill Burr, Ken Davitian, Lawrence Gilliard Jr., Alphonso Mcauley, Da'Vone McDonald, John Marsden, Willie Garson, Oliver Hudson, P.J. Byrne",2021-08-16,2014,R,94,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
s296,The Paper Tigers,Quoc Bao Tran,"Alain Uy, Ron Yuan, Mykel Shannon Jenkins, Jae Suh Park, Matthew Page, Joziah Lagonoy, Raymond Ma",2021-08-07,2021,PG-13,111,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s308,Aftermath,Peter Winther,"Ashley Greene, Shawn Ashmore, Sharif Atkins, Britt Baron, Diana Hopper, Ross McCall, Jamie Kaler, Travis Coles, Susan Walters, Jason Liles",2021-08-04,2021,TV-MA,115,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
s309,American Masters: Inventing David Geffen,Susan Lacy,David Geffen,2021-08-04,2012,TV-MA,115,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s315,Heavy,James Mangold,"Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry, Evan Dando, Joe Grifasi, David Patrick Kelly, Marian Quinn",2021-08-03,1995,R,104,13,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
s326,Beethoven,Brian Levant,"Charles Grodin, Bonnie Hunt, Dean Jones, Oliver Platt, Stanley Tucci, Nicholle Tom, Christopher Castile, Sarah Rose Karr, David Duchovny, Patricia Heaton, O-Lan Jones, Nancy Fish",2021-08-01,1992,PG,87,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s327,Beethoven's 2nd,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile, Sarah Rose Karr, Debi Mazar, Chris Penn",2021-08-01,1993,PG,88,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
s334,Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",2021-08-01,1986,PG-13,103,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
s335,Five Feet Apart,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans",2021-08-01,2019,PG-13,116,12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
s336,Freedomland,Joe Roth,"Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson Jackson, Clarke Peters, Peter Friedman, Domenick Lombardozzi",2021-08-01,2006,R,113,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s342,Magnolia,Paul Thomas Anderson,"John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy, Jeremy Blackman, Jason Robards, Melinda Dillon, April Grace, Luis Guzmán, Ricky Jay, Alfred Molina, Michael Murphy, Melora Walters",2021-08-01,1999,R,189,15,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
s343,Major Payne,Nick Castle,"Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Ross Bickell, Orlando Brown, Peyton Chesson-Fohl, Steven Martini",2021-08-01,1995,PG-13,97,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s344,My Girl,Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky, Richard Masur, Griffin Dunne, Ann Nelson, Peter Michael Goetz, Jane Hallaren, Anthony R. Jones",2021-08-01,1991,PG-13,102,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s345,My Girl 2,Howard Zieff,"Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur, Christine Ebersole, Angeline Ball",2021-08-01,1994,PG,99,14,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
s347,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard",2021-08-01,2008,R,112,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s350,Seabiscuit,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H. Macy, David McCullough, Kingston DuCoeur, Eddie Jones, Ed Lauter, Michael O'Neill, Michael Angarano, Royce D. Applegate, Annie Corley, Valerie Mahaffey",2021-08-01,2003,PG-13,141,17,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
s351,Space Cowboys,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Rade Serbedzija, Barbara Babcock, Blair Brown",2021-08-01,2000,PG-13,130,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
s354,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind, Cicely Tyson, Andrea Frankle, Brad James, Lance E. Nichols",2021-08-01,2013,R,101,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
s355,The Last Boy Scout,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill",2021-08-01,1991,R,105,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
s356,The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Peña, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher",2021-08-01,2011,R,118,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
s359,The Net,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett",2021-08-01,1995,PG-13,114,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s360,The Original Kings of Comedy,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",2021-08-01,2000,R,111,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
