,Unnamed: 0.1,Unnamed: 0,release_year,rating,Count
114,114,28,1981,PG,2
115,115,0,1981,PG-13,0
116,116,29,1981,R,2
117,117,0,1981,TV-14,0
118,118,30,1981,TV-MA,1
119,119,0,1981,TV-PG,0
120,120,31,1982,PG,1
121,121,0,1982,PG-13,0
122,122,32,1982,R,1
123,123,0,1982,TV-14,0
124,124,0,1982,TV-MA,0
125,125,0,1982,TV-PG,0
126,126,33,1983,PG,1
127,127,0,1983,PG-13,0
128,128,0,1983,R,0
129,129,0,1983,TV-14,0
130,130,34,1983,TV-MA,1
131,131,0,1983,TV-PG,0
132,132,35,1984,PG,4
133,133,36,1984,PG-13,1
134,134,0,1984,R,0
135,135,0,1984,TV-14,0
136,136,0,1984,TV-MA,0
137,137,0,1984,TV-PG,0
138,138,37,1985,PG,1
139,139,0,1985,PG-13,0
140,140,0,1985,R,0
141,141,0,1985,TV-14,0
142,142,0,1985,TV-MA,0
143,143,0,1985,TV-PG,0
144,144,38,1986,PG,1
145,145,39,1986,PG-13,2
146,146,0,1986,R,0
147,147,40,1986,TV-14,1
148,148,41,1986,TV-MA,1
149,149,0,1986,TV-PG,0
150,150,0,1987,PG,0
151,151,42,1987,PG-13,2
152,152,43,1987,R,2
153,153,0,1987,TV-14,0
154,154,44,1987,TV-MA,1
155,155,45,1987,TV-PG,1
156,156,0,1988,PG,0
157,157,46,1988,PG-13,3
158,158,47,1988,R,5
159,159,48,1988,TV-14,1
160,160,49,1988,TV-MA,1
161,161,50,1988,TV-PG,2
162,162,51,1989,PG,3
163,163,52,1989,PG-13,2
164,164,53,1989,R,1
165,165,0,1989,TV-14,0
166,166,54,1989,TV-MA,1
167,167,55,1989,TV-PG,1
168,168,0,1990,PG,0
169,169,56,1990,PG-13,2
170,170,57,1990,R,2
171,171,58,1990,TV-14,2
172,172,59,1990,TV-MA,1
173,173,0,1990,TV-PG,0
174,174,0,1991,PG,0
175,175,60,1991,PG-13,1
176,176,61,1991,R,2
177,177,62,1991,TV-14,1
178,178,63,1991,TV-MA,2
179,179,64,1991,TV-PG,1
180,180,65,1992,PG,1
181,181,66,1992,PG-13,1
182,182,67,1992,R,4
183,183,0,1992,TV-14,0
184,184,0,1992,TV-MA,0
185,185,0,1992,TV-PG,0
186,186,68,1993,PG,3
187,187,69,1993,PG-13,3
188,188,70,1993,R,4
189,189,0,1993,TV-14,0
190,190,0,1993,TV-MA,0
191,191,71,1993,TV-PG,1
192,192,72,1994,PG,3
193,193,73,1994,PG-13,2
194,194,74,1994,R,3
195,195,0,1994,TV-14,0
196,196,0,1994,TV-MA,0
197,197,0,1994,TV-PG,0
198,198,75,1995,PG,2
199,199,76,1995,PG-13,8
200,200,77,1995,R,3
201,201,0,1995,TV-14,0
202,202,0,1995,TV-MA,0
203,203,0,1995,TV-PG,0
204,204,78,1996,PG,1
205,205,79,1996,PG-13,6
206,206,80,1996,R,8
207,207,0,1996,TV-14,0
208,208,0,1996,TV-MA,0
209,209,0,1996,TV-PG,0
